一卡通号,姓名,年级,专业,行政班,届次
2099001129,郑清越129,2023,网络空间安全,网安2302,2027
2099001130,唐清越130,2023,计算机科学与技术,计科2302,2027
2099001131,梁清越131,2023,软件工程,软工2303,2027
2099001132,顾清越132,2023,数据科学,数科2303,2027
2099001133,陆清越133,2023,人工智能,智能2303,2027
2099001134,叶清越134,2023,网络空间安全,网安2303,2027
2099001135,宋清越135,2023,计算机科学与技术,计科2303,2027
2099001136,韩清越136,2023,软件工程,软工2304,2027
2099001137,冯清越137,2023,数据科学,数科2304,2027
2099001138,袁清越138,2023,人工智能,智能2304,2027
2099001139,邹清越139,2023,网络空间安全,网安2304,2027
2099001140,秦清越140,2023,计算机科学与技术,计科2304,2027
2099001141,陈星河141,2023,软件工程,软工2301,2027
2099001142,林星河142,2023,数据科学,数科2301,2027
2099001143,赵星河143,2023,人工智能,智能2301,2027
2099001144,沈星河144,2023,网络空间安全,网安2301,2027
2099001145,周星河145,2023,计算机科学与技术,计科2301,2027
2099001146,吴星河146,2023,软件工程,软工2302,2027
2099001147,何星河147,2023,数据科学,数科2302,2027
2099001148,许星河148,2023,人工智能,智能2302,2027
2099001149,郑星河149,2023,网络空间安全,网安2302,2027
2099001150,唐星河150,2023,计算机科学与技术,计科2302,2027
2099001151,梁星河151,2023,软件工程,软工2303,2027
2099001152,顾星河152,2023,数据科学,数科2303,2027
2099001153,陆星河153,2023,人工智能,智能2303,2027
2099001154,叶星河154,2023,网络空间安全,网安2303,2027
2099001155,宋星河155,2023,计算机科学与技术,计科2303,2027
2099001156,韩星河156,2023,软件工程,软工2304,2027
2099001157,冯星河157,2023,数据科学,数科2304,2027
2099001158,袁星河158,2023,人工智能,智能2304,2027
2099001159,邹星河159,2023,网络空间安全,网安2304,2027
2099001160,秦星河160,2023,计算机科学与技术,计科2304,2027
2099001161,陈以宁161,2023,软件工程,软工2301,2027
2099001162,林以宁162,2023,数据科学,数科2301,2027
2099001163,赵以宁163,2023,人工智能,智能2301,2027
2099001164,沈以宁164,2023,网络空间安全,网安2301,2027
2099001165,周以宁165,2023,计算机科学与技术,计科2301,2027
2099001166,吴以宁166,2023,软件工程,软工2302,2027
2099001167,何以宁167,2023,数据科学,数科2302,2027
2099001168,许以宁168,2023,人工智能,智能2302,2027
2099001169,郑以宁169,2023,网络空间安全,网安2302,2027
2099001170,唐以宁170,2023,计算机科学与技术,计科2302,2027
2099001171,梁以宁171,2023,软件工程,软工2303,2027
2099001172,顾以宁172,2023,数据科学,数科2303,2027
2099001173,陆以宁173,2023,人工智能,智能2303,2027
2099001174,叶以宁174,2023,网络空间安全,网安2303,2027
2099001175,宋以宁175,2023,计算机科学与技术,计科2303,2027
2099001176,韩以宁176,2023,软件工程,软工2304,2027
2099001177,冯以宁177,2023,数据科学,数科2304,2027
2099001178,袁以宁178,2023,人工智能,智能2304,2027
2099001179,邹以宁179,2023,网络空间安全,网安2304,2027
2099001180,秦以宁180,2023,计算机科学与技术,计科2304,2027
2099001181,陈亦辰181,2023,软件工程,软工2301,2027
2099001182,林亦辰182,2023,数据科学,数科2301,2027
2099001183,赵亦辰183,2023,人工智能,智能2301,2027
2099001184,沈亦辰184,2023,网络空间安全,网安2301,2027
2099001185,周亦辰185,2023,计算机科学与技术,计科2301,2027
2099001186,吴亦辰186,2023,软件工程,软工2302,2027
2099001187,何亦辰187,2023,数据科学,数科2302,2027
2099001188,许亦辰188,2023,人工智能,智能2302,2027
2099001189,郑亦辰189,2023,网络空间安全,网安2302,2027
2099001190,唐亦辰190,2023,计算机科学与技术,计科2302,2027
2099001191,梁亦辰191,2023,软件工程,软工2303,2027
2099001192,顾亦辰192,2023,数据科学,数科2303,2027
2099001193,陆亦辰193,2023,人工智能,智能2303,2027
2099001194,叶亦辰194,2023,网络空间安全,网安2303,2027
2099001195,宋亦辰195,2023,计算机科学与技术,计科2303,2027
2099001196,韩亦辰196,2023,软件工程,软工2304,2027
2099001197,冯亦辰197,2023,数据科学,数科2304,2027
2099001198,袁亦辰198,2023,人工智能,智能2304,2027
2099001199,邹亦辰199,2023,网络空间安全,网安2304,2027
2099001200,秦亦辰200,2023,计算机科学与技术,计科2304,2027
